closed_issues,closed_prs,comment,commits,created_at,description,forks,inner_source,is_nvidia,latest_release.published_at,latest_release.tag_name,license,name,open_days,open_issues,open_prs,pushed_at,quadrant,ring,stars,status,topics,url
5716,3224,,4332,2023-06-26T19:39:32Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",12023,FALSE,FALSE,2025-05-29T05:41:01Z,v0.9.0,MIT License,ollama/ollama,713,1570,265,2025-06-09T05:20:12Z,Application,Adopt,143143,new,"deepseek, gemma, gemma2, gemma3, go, golang, llama, llama2, llama3, llava, llm, llms, mistral, ollama, phi3, phi4, qwen",https://github.com/ollama/ollama
4958,5931,,5608,2023-03-10T18:58:00Z,LLM inference in C/C++,12048,FALSE,FALSE,2025-06-09T04:41:01Z,b5608,MIT License,ggml-org/llama.cpp,821,321,466,2025-06-09T07:54:22Z,Framework,Adopt,81507,new,"ggml, llama",https://github.com/ggml-org/llama.cpp
63,6,,24,2025-04-17T06:54:07Z,Open-source unified multimodal model,287,FALSE,FALSE,,,Apache License 2.0,ByteDance-Seed/Bagel,53,63,2,2025-05-30T18:32:33Z,Application,Hold,3905,new,No Topics,https://github.com/ByteDance-Seed/Bagel
986,98,,275,2024-02-05T05:45:08Z,"Qwen3 is the large language model series developed by Qwen team, Alibaba Cloud.",1463,FALSE,FALSE,,,No License,QwenLM/Qwen3,490,75,12,2025-05-29T11:45:27Z,Application,Assess,21931,new,No Topics,https://github.com/QwenLM/Qwen3
58569,53721,,540291,2016-12-07T09:39:33Z,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.,13654,FALSE,FALSE,2025-05-28T18:43:04Z,llvmorg-20.1.6,Other,llvm/llvm-project,3106,25589,4657,2025-06-09T09:20:40Z,Platform,Adopt,32884,new,No Topics,https://github.com/llvm/llvm-project
19,96,,246,2023-04-12T03:55:01Z,"AI Accelerator Benchmark focuses on evaluating AI Accelerators from a practical production perspective, including the ease of use and versatility of software and hardware.",69,FALSE,FALSE,2024-08-26T03:56:50Z,v1.0.0,Apache License 2.0,bytedance/ByteMLPerf,789,10,10,2025-05-17T11:13:53Z,Tool,Hold,244,new,python,https://github.com/bytedance/ByteMLPerf
1037,2859,,3861,2018-12-27T23:58:12Z,"Low-code framework for building custom LLMs, neural networks, and other AI models",1214,FALSE,FALSE,2024-07-30T00:11:51Z,v0.10.4,Apache License 2.0,ludwig-ai/ludwig,2355,42,10,2025-06-02T20:17:35Z,Framework,Hold,11483,new,"computer-vision, data-centric, data-science, deep, deep-learning, deeplearning, fine-tuning, learning, llama, llama2, llm, llm-training, machine-learning, machinelearning, mistral, ml, natural-language, natural-language-processing, neural-network, pytorch",https://github.com/ludwig-ai/ludwig
2889,11041,,7926,2018-06-05T16:05:58Z,Open source platform for the machine learning lifecycle,4569,FALSE,FALSE,2025-06-06T09:02:03Z,v2.22.1,Apache License 2.0,mlflow/mlflow,2561,1428,423,2025-06-09T09:48:28Z,Tool,Trial,20768,new,"ai, apache-spark, machine-learning, ml, mlflow, model-management",https://github.com/mlflow/mlflow
3256,3975,,3602,2018-10-04T21:10:30Z,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,1592,FALSE,FALSE,2025-05-31T09:16:11Z,v2.58.0,"BSD 3-Clause ""New"" or ""Revised"" License",triton-inference-server/server,2439,709,70,2025-06-09T07:49:37Z,Application,Assess,9313,new,"cloud, datacenter, deep-learning, edge, gpu, inference, machine-learning",https://github.com/triton-inference-server/server
273,1304,,1117,2022-09-20T15:20:26Z,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit floating point (FP8) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.",429,FALSE,TRUE,2025-06-05T20:44:15Z,v2.4,Apache License 2.0,NVIDIA/TransformerEngine,993,190,73,2025-06-07T02:25:38Z,Framework,Trial,2467,new,"cuda, deep-learning, fp8, gpu, jax, machine-learning, python, pytorch",https://github.com/NVIDIA/TransformerEngine
8564,15930,,35293,2012-07-19T09:40:17Z,Open Source Computer Vision Library,56180,FALSE,FALSE,2025-01-09T10:25:23Z,4.11.0,Apache License 2.0,opencv/opencv,4708,2596,138,2025-06-09T07:40:03Z,Platform,Trial,82545,new,"c-plus-plus, computer-vision, deep-learning, image-processing, opencv",https://github.com/opencv/opencv
182,17,,522,2019-05-09T16:25:54Z,CUDA Library Samples,393,FALSE,TRUE,,,Other,NVIDIA/CUDALibrarySamples,2223,50,17,2025-06-06T23:31:10Z,Application,Hold,1970,new,"cuda, cudss, cufft, curand, cusolver, cusparse, cutenros, gpu, linear-algebra, mathdx, nppcublas, nvcomp, nvjpeg, nvjpeg2000, nvtiff",https://github.com/NVIDIA/CUDALibrarySamples
647,233,,908,2022-05-19T21:22:06Z,Fast and memory-efficient exact attention,1728,FALSE,FALSE,2025-01-29T21:43:24Z,v2.7.4.post1,"BSD 3-Clause ""New"" or ""Revised"" License",Dao-AILab/flash-attention,1116,749,62,2025-06-09T02:22:08Z,Platform,Assess,17737,new,No Topics,https://github.com/Dao-AILab/flash-attention
80,506,,568,2024-03-21T02:04:53Z,FlagGems is an operator library for large language models implemented in the Triton Language.,101,FALSE,FALSE,,,Apache License 2.0,FlagOpen/FlagGems,445,45,38,2025-06-08T15:30:06Z,Platform,Assess,558,new,"pytorch, triton, triton-kernels",https://github.com/FlagOpen/FlagGems
23,774,,1027,2022-09-27T06:18:38Z,FlagPerf is an open-source software platform for  benchmarking AI chips.,113,FALSE,FALSE,2024-06-26T07:26:05Z,1.2,Apache License 2.0,FlagOpen/FlagPerf,986,7,4,2025-06-06T09:22:58Z,Tool,Hold,338,new,No Topics,https://github.com/FlagOpen/FlagPerf
432,195,,1392,2023-08-02T02:08:11Z,Retrieval and Retrieval-augmented LLMs,725,FALSE,FALSE,2025-05-28T07:14:20Z,v1.3.5,MIT License,FlagOpen/FlagEmbedding,677,820,20,2025-06-04T10:00:26Z,Platform,Assess,9875,new,"embeddings, information-retrieval, llm, retrieval-augmented-generation, sentence-embeddings, text-semantic-similarity",https://github.com/FlagOpen/FlagEmbedding
0,12,,2343,2025-05-16T09:22:24Z,"FlagTree is a unified compiler for multiple AI chips, which is forked from triton-lang/triton.",8,FALSE,FALSE,2025-06-05T02:05:36Z,v0.2.0-build-deps,MIT License,FlagTree/flagtree,24,1,0,2025-06-06T11:02:58Z,Platform,Hold,33,new,No Topics,https://github.com/FlagTree/flagtree
7069,9061,,7021,2023-02-09T11:23:20Z,A high-throughput and memory-efficient inference and serving engine for LLMs,7858,FALSE,FALSE,2025-05-30T16:11:16Z,v0.9.0.1,Apache License 2.0,vllm-project/vllm,851,1898,696,2025-06-09T09:57:23Z,Framework,Adopt,49184,new,"amd, cuda, deepseek, gpt, hpu, inference, inferentia, llama, llm, llm-serving, llmops, mlops, model-serving, pytorch, qwen, rocm, tpu, trainium, transformer, xpu",https://github.com/vllm-project/vllm
2821,589,,1972,2019-04-15T07:40:18Z,"MNN is a blazing fast, lightweight deep learning framework, battle-tested by business-critical use cases in Alibaba. Full multimodal LLM Android App:[MNN-LLM-Android](./apps/Android/MnnLlmChat/README.md)",1877,FALSE,FALSE,2025-06-06T02:38:17Z,3.2.0,Apache License 2.0,alibaba/MNN,2247,81,7,2025-06-09T02:20:06Z,Framework,Assess,11410,new,"arm, convolution, deep-learning, embedded-devices, llm, machine-learning, ml, mnn, transformer, vulkan, winograd-algorithm",https://github.com/alibaba/MNN
2002,2037,,1243,2023-08-16T17:14:27Z,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and support state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in performant way.,1482,FALSE,TRUE,2025-06-04T02:48:32Z,v0.21.0rc0,Apache License 2.0,NVIDIA/TensorRT-LLM,663,597,253,2025-06-09T10:02:48Z,Framework,Trial,10685,new,No Topics,https://github.com/NVIDIA/TensorRT-LLM
12905,25603,,22485,2019-09-16T06:43:43Z,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",3242,FALSE,FALSE,2025-06-09T09:39:24Z,v2.5.13,Apache License 2.0,milvus-io/milvus,2093,686,89,2025-06-09T09:40:35Z,Application,Trial,35213,new,"anns, cloud-native, diskann, distributed, embedding-database, embedding-similarity, embedding-store, faiss, golang, hnsw, image-search, llm, nearest-neighbor-search, rag, vector-database, vector-search, vector-similarity, vector-store",https://github.com/milvus-io/milvus
10131,7137,,5975,2023-04-12T07:40:24Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",15358,FALSE,FALSE,2025-05-27T08:12:15Z,1.4.1,Other,langgenius/dify,789,633,96,2025-06-09T08:19:55Z,Tool,Adopt,102427,new,"agent, ai, automation, backend-as-a-service, gemini, genai, gpt, gpt-4, llm, llmops, low-code, mcp, nextjs, no-code, openai, orchestration, python, rag, workflow",https://github.com/langgenius/dify
0,421,,716,2022-12-05T13:54:13Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,17014,FALSE,FALSE,,,Creative Commons Zero v1.0 Universal,f/awesome-chatgpt-prompts,917,0,275,2025-06-05T23:14:15Z,Tool,Hold,128317,new,"bots, chatbot, chatgpt, chatgpt-api, language",https://github.com/f/awesome-chatgpt-prompts
1082,1057,,4788,2022-11-24T02:28:11Z,"A Fundamental End-to-End Speech Recognition Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Recognition, Voice Activity Detection, Text Post-processing etc.",1097,FALSE,FALSE,2023-03-16T08:15:02Z,v0.3.0,MIT License,modelscope/FunASR,928,339,9,2025-05-28T02:33:26Z,Platform,Assess,10913,new,"audio-visual-speech-recognition, conformer, dfsmn, paraformer, pretrained-model, punctuation, pytorch, rnnt, speaker-diarization, speech-recognition, speechgpt, speechllm, vad, voice-activity-detection, whisper",https://github.com/modelscope/FunASR
1866,1588,,1341,2017-08-09T19:39:59Z,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",2256,FALSE,FALSE,2023-06-12T09:26:22Z,v0.28.1,Other,horovod/horovod,2860,381,17,2025-04-22T08:33:56Z,Platform,Hold,14503,new,"baidu, deep-learning, deeplearning, keras, machine-learning, machinelearning, mpi, mxnet, pytorch, ray, spark, tensorflow, uber",https://github.com/horovod/horovod
483,1264,,3843,2023-02-02T11:03:23Z,"DocsGPT is an open-source genAI tool that helps users get reliable answers from knowledge source, while avoiding hallucinations. It enables private and reliable information retrieval, with tooling and agentic system capability built in.",1667,FALSE,FALSE,2025-02-03T12:58:03Z,0.13.0,MIT License,arc53/DocsGPT,858,19,18,2025-06-08T20:08:35Z,Tool,Assess,15696,new,"ai, chatgpt, docsgpt, hacktoberfest, information-retrieval, language-model, llm, machine-learning, natural-language-processing, python, pytorch, rag, react, semantic-search, transformers, web-app",https://github.com/arc53/DocsGPT
2691,3777,,3209,2017-09-07T04:53:45Z,Open standard for machine learning interoperability,3750,FALSE,FALSE,2025-05-12T23:07:37Z,v1.18.0,Apache License 2.0,onnx/onnx,2832,276,41,2025-06-09T10:13:33Z,Tool,Assess,19075,new,"deep-learning, deep-neural-networks, dnn, keras, machine-learning, ml, neural-network, onnx, pytorch, scikit-learn, tensorflow",https://github.com/onnx/onnx
2041,3212,,2803,2020-01-23T18:35:18Z,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",4412,FALSE,FALSE,2025-06-02T23:02:51Z,v0.17.0,Apache License 2.0,deepspeedai/DeepSpeed,1964,1066,106,2025-06-07T18:10:20Z,Framework,Trial,38768,new,"billion-parameters, compression, data-parallelism, deep-learning, gpu, inference, machine-learning, mixture-of-experts, model-parallelism, pipeline-parallelism, pytorch, trillion-parameters, zero",https://github.com/deepspeedai/DeepSpeed
3055,1217,,2327,2017-08-29T16:26:12Z,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,6538,FALSE,FALSE,2022-06-27T19:32:58Z,v0.12.2,MIT License,facebookresearch/fairseq,2841,1180,149,2025-01-09T16:43:36Z,Tool,Hold,31514,new,"artificial-intelligence, python, pytorch",https://github.com/facebookresearch/fairseq
6739,2998,,2706,2018-08-22T07:06:06Z,OpenMMLab Detection Toolbox and Benchmark,9678,FALSE,FALSE,2024-01-05T06:24:15Z,v3.3.0,Apache License 2.0,open-mmlab/mmdetection,2483,1736,181,2024-08-21T02:01:07Z,Tool,Hold,31136,new,"cascade-rcnn, convnext, detr, fast-rcnn, faster-rcnn, glip, grounding-dino, instance-segmentation, mask-rcnn, object-detection, panoptic-segmentation, pytorch, retinanet, rtmdet, semisupervised-learning, ssd, swin-transformer, transformer, vision-transformer, yolo",https://github.com/open-mmlab/mmdetection
5460,3164,,7689,2022-08-22T14:05:26Z,Stable Diffusion web UI,28529,FALSE,FALSE,2025-02-09T08:00:10Z,v1.10.1,GNU Affero General Public License v3.0,AUTOMATIC1111/stable-diffusion-webui,1022,2342,60,2025-05-03T06:17:03Z,Tool,Assess,153309,new,"ai, ai-art, deep-learning, diffusion, gradio, image-generation, image2image, img2img, pytorch, stable-diffusion, text2image, torch, txt2img, unstable, upscaling, web",https://github.com/AUTOMATIC1111/stable-diffusion-webui
16326,19970,,19225,2018-10-29T13:56:00Z,"馃 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",29276,FALSE,FALSE,2025-06-02T13:07:17Z,v4.52.4-ColQwen2-preview,Apache License 2.0,huggingface/transformers,2415,1055,783,2025-06-09T10:38:02Z,Platform,Adopt,145349,new,"bert, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp, nlp-library, pretrained-models, python, pytorch, pytorch-transformers, seq2seq, speech-recognition, tensorflow, transformer",https://github.com/huggingface/transformers
122,1244,,688,2023-01-23T20:51:04Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",2729,FALSE,FALSE,,,Other,openai/evals,867,99,51,2024-12-18T22:09:47Z,Tool,Hold,16319,new,No Topics,https://github.com/openai/evals
0,208,,158,2022-09-16T20:02:54Z,Robust Speech Recognition via Large-Scale Weak Supervision,10052,FALSE,FALSE,2024-09-30T18:21:20Z,v20240930,MIT License,openai/whisper,996,0,96,2025-05-13T18:22:39Z,Application,Hold,82975,new,No Topics,https://github.com/openai/whisper
23,58,,175,2025-02-24T07:23:43Z,Distributed RL System for LLM Reasoning,78,FALSE,FALSE,2025-03-31T00:50:26Z,v0.2.0,Apache License 2.0,inclusionAI/AReaL,105,14,0,2025-06-08T13:11:38Z,Application,Hold,1623,new,"llm, llm-reasoning, machine-learning-systems, mlsys, reinforcement-learning, rl",https://github.com/inclusionAI/AReaL
532,616,,1213,2018-04-23T16:28:52Z,A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorch,1453,FALSE,TRUE,,,"BSD 3-Clause ""New"" or ""Revised"" License",NVIDIA/apex,2604,672,77,2025-05-15T16:17:16Z,Platform,Hold,8676,new,No Topics,https://github.com/NVIDIA/apex
1033,5028,,4147,2014-08-30T17:07:16Z,Development repository for the Triton language and compiler,2023,FALSE,FALSE,,,MIT License,triton-lang/triton,3936,758,99,2025-06-09T00:58:11Z,Platform,Trial,15810,new,No Topics,https://github.com/triton-lang/triton
86,32,,76,2024-08-05T09:07:38Z,Official inference framework for 1-bit LLMs,1501,FALSE,FALSE,,,MIT License,microsoft/BitNet,308,107,25,2025-06-03T06:14:20Z,Platform,Assess,20028,new,No Topics,https://github.com/microsoft/BitNet
5366,16051,,12984,2018-11-10T02:22:53Z,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",3254,FALSE,FALSE,2025-05-10T01:14:00Z,v1.22.0,MIT License,microsoft/onnxruntime,2403,1979,573,2025-06-09T09:35:49Z,Framework,Trial,16856,new,"ai-framework, deep-learning, hardware-acceleration, machine-learning, neural-networks, onnx, pytorch, scikit-learn, tensorflow",https://github.com/microsoft/onnxruntime
1290,4326,,3840,2021-10-28T16:19:44Z,"Making large AI models cheaper, faster and more accessible",4523,FALSE,FALSE,2025-06-04T06:00:47Z,v0.5.0,Apache License 2.0,hpcaitech/ColossalAI,1320,426,42,2025-06-09T09:02:13Z,Tool,Assess,40944,new,"ai, big-model, data-parallelism, deep-learning, distributed-computing, foundation-models, heterogeneous-training, hpc, inference, large-scale, model-parallelism, pipeline-parallelism",https://github.com/hpcaitech/ColossalAI
866,1901,,1467,2018-08-22T07:05:26Z,OpenMMLab Computer Vision Foundation,1693,FALSE,FALSE,2024-04-24T14:23:58Z,v2.2.0,Apache License 2.0,open-mmlab/mmcv,2483,331,109,2025-04-25T02:53:09Z,Platform,Hold,6152,new,No Topics,https://github.com/open-mmlab/mmcv
356,91,,3157,2019-09-13T17:24:52Z,HugeCTR is a high efficiency GPU framework designed for Click-Through-Rate (CTR) estimating training,205,FALSE,TRUE,2025-03-14T09:04:46Z,v25.03.00,Apache License 2.0,NVIDIA-Merlin/HugeCTR,2096,23,5,2025-03-23T01:06:18Z,Platform,Hold,1009,new,"cpp, deep-learning, gpu-acceleration, recommendation-system, recommender-system",https://github.com/NVIDIA-Merlin/HugeCTR
1924,6614,,29916,2016-11-01T09:54:45Z,NumPy & SciPy for GPU,916,FALSE,FALSE,2025-04-04T08:41:59Z,v14.0.0a1,MIT License,cupy/cupy,3142,508,79,2025-06-05T14:09:19Z,Platform,Assess,10261,new,"cublas, cuda, cudnn, cupy, curand, cusolver, cusparse, cusparselt, cutensor, gpu, nccl, numpy, nvrtc, nvtx, python, rocm, scipy, tensor",https://github.com/cupy/cupy
147,34,,63,2022-08-23T03:30:37Z,"CV-CUDA鈩?is an open-source, GPU accelerated library for cloud-scale image processing and computer vision.",231,FALSE,FALSE,2025-05-19T22:37:20Z,v0.15.0-beta,Other,CVCUDA/CV-CUDA,1021,46,3,2025-05-21T18:00:12Z,Platform,Hold,2514,new,"bytedance, cloud, computer-vision, cpp, cuda, cv-cuda, gpu, image-processing, machine-learning, nvidia, python",https://github.com/CVCUDA/CV-CUDA
7758,10920,,11896,2015-04-30T16:21:15Z,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",6762,FALSE,FALSE,2022-05-10T20:10:05Z,1.9.1,Apache License 2.0,apache/mxnet,3693,1805,204,2023-10-25T21:28:33Z,Framework,Hold,20810,new,mxnet,https://github.com/apache/mxnet
197,129,,1618,2011-04-06T02:53:31Z,"CUDA integration for Python, plus shiny features",291,FALSE,FALSE,2025-06-08T20:27:50Z,v2025.1.1,Other,inducer/pycuda,5178,71,15,2025-06-08T20:25:31Z,Platform,Hold,1948,new,"array, cuda, gpu, gpu-computing, multidimensional-arrays, pycuda, python, scientific-computing",https://github.com/inducer/pycuda
274,266,,1242,2021-06-28T22:14:29Z,CUDA Python: Performance meets Productivity,171,FALSE,TRUE,2025-05-06T19:15:43Z,v12.9.0,Other,NVIDIA/cuda-python,1441,126,11,2025-06-09T03:06:42Z,Platform,Assess,2746,new,No Topics,https://github.com/NVIDIA/cuda-python
3827,4520,,26862,2012-03-08T11:12:43Z,NumPy aware dynamic Python compiler using LLVM,1164,FALSE,FALSE,2025-04-09T12:34:03Z,0.61.2,"BSD 2-Clause ""Simplified"" License",numba/numba,4841,1625,106,2025-05-22T17:36:29Z,Platform,Assess,10458,new,"compiler, cuda, llvm, numba, numpy, parallel, python",https://github.com/numba/numba
510,328,,313,2018-04-30T18:11:09Z,ONNX-TensorRT: TensorRT backend for ONNX,545,FALSE,FALSE,2025-05-16T20:54:50Z,release/10.11-GA,Apache License 2.0,onnx/onnx-tensorrt,2597,164,17,2025-05-16T20:54:50Z,Platform,Hold,3088,new,"deep-learning, nvidia, onnx",https://github.com/onnx/onnx-tensorrt
553,22,,248,2019-01-19T02:57:09Z,Spatial Sparse Convolution Library,383,FALSE,TRUE,,,Apache License 2.0,traveller59/spconv,2333,164,10,2024-12-15T15:41:19Z,Platform,Hold,2060,new,point-cloud,https://github.com/traveller59/spconv
1478,200,,440,2020-03-14T14:48:31Z,OpenPCDet Toolbox for LiDAR-based 3D Object Detection.,1364,FALSE,FALSE,,,Apache License 2.0,open-mmlab/OpenPCDet,1913,6,30,2024-08-08T15:53:32Z,Framework,Hold,5042,new,"3d-detection, autonomous-driving, object-detection, point-cloud, pv-rcnn, pytorch",https://github.com/open-mmlab/OpenPCDet
82,115,,460,2021-12-01T02:58:58Z,Efficient Training (including pre-training and fine-tuning) for Big Models,80,FALSE,FALSE,2025-05-13T07:16:28Z,v1.0.1,Apache License 2.0,OpenBMB/BMTrain,1286,5,5,2025-05-29T04:01:42Z,Platform,Hold,595,new,No Topics,https://github.com/OpenBMB/BMTrain
2526,10419,,8708,2019-08-05T20:16:42Z,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",2927,FALSE,TRUE,2025-05-25T22:04:25Z,v2.3.1,Apache License 2.0,NVIDIA/NeMo,2134,59,95,2025-06-09T11:11:10Z,Framework,Trial,14749,new,"asr, deeplearning, generative-ai, large-language-models, machine-translation, multimodal, neural-networks, speaker-diariazation, speaker-recognition, speech-synthesis, speech-translation, tts",https://github.com/NVIDIA/NeMo
4304,5766,,5536,2022-05-30T16:04:02Z,"馃 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch and FLAX.",6013,FALSE,FALSE,2025-04-10T05:38:36Z,v0.33.1,Apache License 2.0,huggingface/diffusers,1106,500,196,2025-06-09T11:06:22Z,Framework,Trial,29290,new,"deep-learning, diffusion, flax, flux, hacktoberfest, image-generation, image2image, image2video, jax, latent-diffusion-models, pytorch, score-based-generative-modeling, stable-diffusion, stable-diffusion-diffusers, text2image, text2video, video2video",https://github.com/huggingface/diffusers
136,696,,595,2023-07-22T08:11:15Z,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance.",259,FALSE,FALSE,2025-03-03T10:23:52Z,v1.0.1,Apache License 2.0,ModelTC/lightllm,688,76,10,2025-06-09T10:46:40Z,Platform,Assess,3288,new,"deep-learning, gpt, llama, llm, model-serving, nlp, openai-triton",https://github.com/ModelTC/lightllm
320,585,,1036,2021-10-13T18:08:50Z,"Hackable and optimized Transformers building blocks, supporting a composable construction.",673,FALSE,FALSE,2025-04-28T14:51:29Z,v0.0.30,Other,facebookresearch/xformers,1335,312,6,2025-06-05T09:42:47Z,Platform,Hold,9566,new,No Topics,https://github.com/facebookresearch/xformers
